Movie_name,Comment_Rating,Movie_name,Genre 1,Genre 2,Genre 3,Genre 4
The Way Way Back ,5.777777777777778,The Way Way Back ,comedy,family,children,action
The Wolverine ,5.444656488549619,The Wolverine ,comedy,horror,action,classic
There Will Be Blood ,6.989795918367347,There Will Be Blood ,action,comedy,family,adventure
This Is 40 ,4.6,This Is 40 ,dramas,action,adventure,anime
This Is the End ,5.434640522875817,This Is the End ,action,classic,thrillers,children
Till We Meet Again ,4.625,Till We Meet Again ,action,adventure,anime,children
Tinker Tailor Soldier Spy ,5.1310975609756095,Tinker Tailor Soldier Spy ,action,sci-fi,classic,adventure
Tomorrow You re Gone ,7.67906976744186,Tomorrow You re Gone ,action,sci-fi,classic,adventure
Total Recall ,8.880597014925373,Total Recall ,children,action,adventure,family
Toy Story ,5.7727272727272725,Toy Story ,action,classic,thrillers,horror
Toy Story 2 ,9.75,Toy Story 2 ,action,adventure,anime,children
Toy Story 3 ,8.393188854489164,Toy Story 3 ,classic,action,comedy,horror
Trainspotting ,6.753694581280788,Trainspotting ,action,comedy,children,classic
Trance ,6.69949494949495,Trance ,action,sci-fi,classic,adventure
Transformer,8.923076923076923,Transformer,comedy,action,adventure,horror
Tron ,7.978260869565218,Tron ,sci-fi,action,classic,adventure
Tropic Thunde,5.0,Tropic Thunde,horror,children,family,classic
Twelve Monkey,8.277258566978194,Twelve Monkey,classic,children,action,family
Under the Bed ,8.199288256227758,Under the Bed ,adventure,children,action,family
Unforgiven ,7.807662835249042,Unforgiven ,action,classic,comedy,adventure
Up ,5.350515463917525,Up ,comedy,family,action,romantic
V for Vendetta ,5.475103734439834,V for Vendetta ,action,comedy,classic,family
Wanderlust ,6.226912928759894,Wanderlust ,action,classic,children,sci-fi
Wanted ,6.288888888888889,Wanted ,action,classic,dramas,thrillers
Watchmen ,7.25,Watchmen ,family,children,adventure,comedy
We Bought a Zoo ,5.325301204819277,We Bought a Zoo ,action,comedy,family,classic
Welcome to the Punch ,5.476190476190476,Welcome to the Punch ,family,action,musical,adventure
What Richard Did ,8.401515151515152,What Richard Did ,action,classic,children,family
White House Down ,6.048951048951049,White House Down ,action,family,horror,children
Who Framed Roger Rabbit ,5.26056338028169,Who Framed Roger Rabbit ,action,adventure,family,classic
World War ,8.191836734693878,World War ,children,family,action,classic
Wrath of the Titans ,8.08320726172466,Wrath of the Titans ,action,sci-fi,adventure,children
Wreck-It Ralph ,5.747282608695652,Wreck-It Ralph ,action,adventure,horror,classic
X-Men ,7.15625,X-Men ,comedy,horror,action,classic
combined ,6.756701030927835,combined ,action,horror,family,children
imdb scr,8.053763440860216,imdb scr,action,children,sci-fi,classic
